City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ambilobe,MG,72.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
4,Rikitea,PF,76.73,scattered clouds,-23.1203,-134.9692,People ThankYou
8,Banda Aceh,ID,78.08,overcast clouds,5.5577,95.3222,Sulthan Hotel International
13,Hithadhoo,MV,81.72,scattered clouds,-0.6,73.0833,Scoop Guest House
15,Christchurch,NZ,82.6,few clouds,-43.5333,172.6333,The George
17,Busselton,AU,76.08,clear sky,-33.65,115.3333,Observatory Guest House
22,Sarangani,PH,82.29,broken clouds,5.4033,125.4636,Ballistic Islet
23,Padilla,CO,69.37,overcast clouds,3.2204,-76.3139,La Granadina
27,Vao,NC,76.98,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
29,Airai,TL,65.89,heavy intensity rain,-8.9266,125.4092,Juvinal Martin
30,Mataura,NZ,65.73,overcast clouds,-46.1927,168.8643,Ellie's Villa
31,Huarmey,PE,67.3,overcast clouds,-10.0681,-78.1522,Hotel Miramar
35,Miranda,CO,68.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
45,Sao Joao Da Barra,BR,69.96,clear sky,-21.6403,-41.0511,
46,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
48,Arraial Do Cabo,BR,71.71,clear sky,-22.9661,-42.0278,Pousada Porto Praia
50,Wairoa,NZ,74.55,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
51,Ternate,ID,80.22,light rain,0.8,127.4,Sahid Bela Ternate Hotel
60,Lake Havasu City,US,69.1,clear sky,34.4839,-114.3224,Heat Hotel
62,Mecca,SA,70.72,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
63,Kapaa,US,75.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Lodja,CD,69.13,light rain,-3.4833,23.4333,
65,Butaritari,KI,82.29,broken clouds,3.0707,172.7902,Isles Sunset Lodge
68,Impfondo,CG,70.65,light rain,1.6381,18.0667,Auberge La Place de Jules
73,Puerto Ayora,EC,67.68,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Araouane,ML,67.96,scattered clouds,18.9048,-3.5265,
76,Tuy Hoa,VN,72.07,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
78,Atuona,PF,78.93,clear sky,-9.8,-139.0333,Villa Enata
88,Ribeira Grande,PT,65.25,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
89,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
95,Souillac,MU,79.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
98,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
99,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
100,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
103,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
104,Ponta Do Sol,PT,65.03,overcast clouds,32.6667,-17.1,Hotel do Campo
109,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
112,Ulladulla,AU,70.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
113,Port Blair,IN,81.82,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
116,Bengkulu,ID,82.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
121,Pontianak,ID,84.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
127,Honiara,SB,84.63,light rain,-9.4333,159.95,Heritage Park Hotel
128,Banjarmasin,ID,80.74,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
135,Meulaboh,ID,79.56,overcast clouds,4.1363,96.1285,Kost Pria
141,Oriximina,BR,74.7,light rain,-1.7656,-55.8661,Pousada Tia Amélia
142,Jaciara,BR,73.76,scattered clouds,-15.9653,-54.9683,Taba Hotel
144,Carauari,BR,73.35,overcast clouds,-4.8828,-66.8958,Hotel Fellip
145,Prabumulih,ID,79.48,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
146,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
156,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
158,Santa Isabel,BR,67.66,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
159,Maragogi,BR,78.55,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
161,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
162,Miramar,US,73.99,few clouds,25.9873,-80.2323,Miramar
163,Vung Tau,VN,75.13,overcast clouds,10.346,107.0843,Green hotel
172,Kawalu,ID,82.35,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
174,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
178,Nishihara,JP,69.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
187,Soyo,AO,78.58,light rain,-6.1349,12.3689,Hotel Mpampa
192,Beroroha,MG,76.59,clear sky,-21.6667,45.1667,
