City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,61.9,77,89,12.93,overcast clouds
1,Dikson,RU,73.5069,80.5464,-22.02,95,69,11.59,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,20.71,broken clouds
3,Ambilobe,MG,-13.2,49.05,72.9,77,76,3.38,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.73,73,43,15.35,scattered clouds
5,Nome,US,64.5011,-165.4064,8.67,78,90,21.85,snow
6,Lebu,CL,-37.6167,-73.65,52.7,89,7,19.93,clear sky
7,Chokurdakh,RU,70.6333,147.9167,-27.22,96,100,9.95,overcast clouds
8,Banda Aceh,ID,5.5577,95.3222,78.08,82,100,10.33,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,53.26,47,20,23.02,few clouds
10,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,0,5.75,clear sky
11,La Ronge,CA,55.1001,-105.2842,7.05,78,90,5.75,light snow
12,Mohpa,IN,21.3167,78.8167,63.75,49,8,4.7,clear sky
13,Hithadhoo,MV,-0.6,73.0833,81.72,76,44,10.0,scattered clouds
14,Luau,AO,-10.7073,22.2247,62.64,96,20,2.86,few clouds
15,Christchurch,NZ,-43.5333,172.6333,82.6,42,23,5.99,few clouds
16,Saskylakh,RU,71.9167,114.0833,-17.16,97,100,13.73,overcast clouds
17,Busselton,AU,-33.65,115.3333,76.08,42,8,7.25,clear sky
18,Bredasdorp,ZA,-34.5322,20.0403,57.27,76,100,6.6,overcast clouds
19,Albany,US,42.6001,-73.9662,31.08,70,4,6.85,clear sky
20,Diyarb Najm,EG,30.7542,31.4393,57.58,76,100,3.65,overcast clouds
21,Hami,CN,42.8,93.45,24.76,58,15,3.2,few clouds
22,Sarangani,PH,5.4033,125.4636,82.29,76,69,8.48,broken clouds
23,Padilla,CO,3.2204,-76.3139,69.37,95,99,3.76,overcast clouds
24,Laishevo,RU,55.4046,49.5504,35.82,95,100,20.51,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,59.09,94,0,3.44,clear sky
